Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_2082,c_6,c_4,m_1,c_4,0.9595,0.14238603
model_2083,c_2,c_11,c_9,c_8,0.9725,0.081583865
model_2084,c_4,c_10,c_8,m_2,0.9741,0.0803997
model_2085,m_1,c_1,c_10,m_2,0.9359,0.20563164
model_2086,c_9,c_9,c_11,c_5,0.9722,0.08834413
model_2087,c_4,c_5,c_3,c_12,0.9749,0.08027356
model_2088,c_10,c_2,c_2,c_1,0.973,0.08276018
model_2089,c_3,m_3,c_12,c_10,0.9599,0.13680005
model_2090,c_10,c_11,c_2,c_11,0.9747,0.08102042
model_2091,c_3,c_1,m_3,c_8,0.9633,0.12886457
model_2092,c_11,c_12,m_3,m_1,0.9717,0.10259428
model_2093,m_2,c_5,c_8,m_2,0.9334,0.22291487
model_2094,c_4,c_8,c_8,m_1,0.9728,0.08298335
