Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_373,c_4,c_7,c_8,c_11,0.7433,0.7947755298614502
model_374,c_4,m_1,c_7,c_5,0.737,0.786889029598236
model_375,c_12,c_2,c_5,c_7,0.7373,0.7964193785667419
model_376,c_5,c_9,c_5,c_10,0.7264,0.8233983200073243
model_377,c_11,m_2,m_1,c_1,0.7191,0.8159836513519287
model_378,c_2,c_6,s,-,0.6846,0.9086027359008789
model_379,c_11,c_10,c_4,m_1,0.7243,0.8142566146850586
model_380,c_11,m_2,c_12,c_1,0.7276,0.8611870274543763
model_381,c_2,c_1,c_1,c_3,0.7203,0.8291439314842224
model_382,c_7,m_1,c_9,c_10,0.7483,0.761277497959137
model_383,c_10,c_12,c_2,c_9,0.765,0.7512595649719238
model_384,c_7,c_7,c_12,c_7,0.7321,0.8341422264099121
model_385,c_6,c_12,m_3,c_1,0.7455,0.7455810536384583
model_386,c_11,c_6,c_4,c_3,0.7179,0.8176234498977661
model_387,c_2,c_9,c_1,c_1,0.7128,0.8383800274848938
model_388,c_9,m_1,m_1,m_2,0.7143,0.8729472585678101
model_389,c_11,m_2,c_11,c_12,0.7493,0.7674042333602905
model_390,c_2,m_2,s,-,0.7162,0.8563941420555115
model_391,c_8,c_5,c_8,c_9,0.7401,0.8502301859855652
model_392,c_2,c_12,c_2,c_8,0.7523,0.7478821941375733
model_393,c_11,c_6,m_2,c_5,0.7501,0.7431916942596436
model_394,m_2,c_8,c_7,c_1,0.7131,0.8683371585845947
model_395,c_11,c_6,c_3,c_3,0.736,0.7805517230987549
model_396,c_2,c_10,m_1,m_1,0.6975,0.8761914549827575
model_397,c_10,c_1,c_4,c_11,0.7264,0.8143873208999634
model_398,c_3,c_7,c_2,c_11,0.7279,0.7953396857261658
model_399,c_1,c_6,c_4,c_11,0.7287,0.8283139643669128
model_400,c_5,c_9,m_1,m_3,0.7326,0.7769136852264404
model_401,c_1,c_8,c_9,c_5,0.7197,0.8580887468338013
model_402,c_12,c_9,c_12,c_11,0.7413,0.805166498184204
model_403,c_12,c_7,c_1,c_1,0.7078,0.876352409362793
model_404,c_7,c_8,c_11,m_2,0.7176,0.8340048462867736
model_405,c_2,c_9,c_10,c_6,0.7448,0.7494242482185364
model_406,c_4,c_1,m_2,c_4,0.6859,0.9174356491088868
model_407,s,-,-,-,0.6474,1.0799983957290649
model_408,c_4,c_8,c_4,c_1,0.7176,0.825208002281189
model_409,c_4,c_9,c_4,c_12,0.7342,0.8088925929069519
model_410,c_7,c_6,c_3,c_10,0.7539,0.7333140047073364
model_411,c_10,c_1,c_1,c_9,0.724,0.8398697092056274
model_412,c_4,c_5,c_3,c_11,0.7477,0.749632730770111
model_413,m_3,m_2,c_8,c_8,0.6115,1.1204720823287964
model_414,m_2,c_9,c_12,m_3,0.7081,0.848079166507721
model_415,c_2,c_1,c_5,m_3,0.6968,0.8917115691184998
model_416,c_5,m_1,c_4,s,0.6928,0.9054875895500183
model_417,c_9,c_4,c_1,m_1,0.6852,0.8985059432983399
model_418,c_12,c_7,c_8,c_1,0.7245,0.8167302286148072
model_419,c_10,c_5,c_12,c_1,0.7456,0.7655896728515625
model_420,c_6,c_4,s,-,0.6731,0.9371318929672241
model_421,c_2,c_4,c_5,m_2,0.7147,0.870378314781189
model_422,c_4,c_7,m_3,c_5,0.7396,0.7405230542182922
model_423,c_11,c_2,c_8,c_10,0.7305,0.8273333954811096
model_424,c_8,m_1,c_9,c_2,0.7537,0.7363906955242157
model_425,c_5,c_7,c_10,s,0.7041,0.8619591812133789
model_426,c_6,c_10,c_1,c_7,0.7012,0.8896759444236756
model_427,c_4,m_2,c_8,m_3,0.6997,0.8678993880271911
model_428,c_12,c_6,s,-,0.7254,0.8520607018470764
model_429,c_9,c_1,c_10,m_2,0.6978,0.886228102684021
model_430,c_4,c_5,c_12,c_1,0.7253,0.818146460056305
model_431,c_4,c_10,c_10,m_1,0.7178,0.8581554181098938
model_432,c_1,c_3,s,-,0.6738,0.9468688018798828
model_433,c_11,c_1,c_5,c_12,0.7236,0.854402551651001
model_434,c_5,c_3,c_11,c_3,0.7377,0.8044859088897706
model_435,c_7,c_10,c_1,c_2,0.7259,0.7989113580703735
model_436,m_3,c_2,c_3,c_6,0.7123,0.8931817553520203
model_437,c_1,c_1,m_1,m_3,0.6966,0.8699290098190308
model_438,c_4,c_5,c_12,s,0.7294,0.8150097772598267
model_439,c_7,c_11,c_5,c_2,0.6912,0.9032417877197265
model_440,c_10,c_1,c_11,c_6,0.7486,0.7732167593479157
model_441,c_9,m_2,c_8,m_1,0.7417,0.7567762444496154
model_442,c_3,m_2,c_2,c_11,0.7631,0.738947548866272
model_443,c_11,c_9,m_2,c_7,0.7235,0.825206297302246
model_444,c_9,m_2,c_12,c_8,0.7997,0.6209799933433533
model_445,c_3,c_11,c_10,c_3,0.7224,0.818522952747345
model_446,c_10,c_1,c_2,c_8,0.7146,0.8447378049850464
model_447,c_2,m_3,c_4,c_10,0.7241,0.8281245073318482
model_448,c_9,c_12,c_9,c_6,0.754,0.7388881629943848
model_449,c_8,c_10,c_2,c_11,0.7421,0.7711784399032593
model_450,c_7,c_5,c_4,c_10,0.7288,0.8193512447357177
model_451,c_2,c_8,c_11,m_2,0.7279,0.8076497877120972
model_452,c_3,c_10,c_12,c_5,0.7364,0.7971936856269837
model_453,c_1,c_11,c_8,c_8,0.7342,0.8138492292404175
model_454,c_8,c_10,s,-,0.6833,0.9534517007827759
model_455,c_6,c_12,c_9,c_1,0.7445,0.7467675025939942
model_456,m_2,c_7,c_9,c_7,0.6439,1.0997664968490601
model_457,c_11,c_6,c_12,c_2,0.7314,0.8036078852653503
model_458,c_3,c_4,c_1,c_9,0.7149,0.8451680780410766
model_459,c_5,c_3,c_2,m_3,0.7361,0.7922829526901245
model_460,c_5,c_4,m_2,m_2,0.7148,0.82083952999115
model_461,c_10,m_2,c_12,c_6,0.7851,0.6567272927284241
model_462,c_4,c_5,c_9,s,0.6894,0.9741433499336243
