Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_465,c_9,m_2,c_8,m_1,0.9729,0.090048656
model_466,c_3,m_2,c_2,c_11,0.9699,0.10134535
model_467,c_11,c_9,m_2,c_7,0.9784,0.07082709
model_468,c_9,m_2,c_12,c_8,0.9728,0.09108411
model_469,c_3,c_11,c_10,c_3,0.9795,0.062031884
model_470,c_10,c_1,c_2,c_8,0.9789,0.06282502
model_471,c_2,m_3,c_4,c_10,0.9709,0.0996864
model_472,c_9,c_12,c_9,c_6,0.9811,0.061202373
model_473,c_8,c_10,c_2,c_11,0.9808,0.059860814
model_474,c_7,c_5,c_4,c_10,0.98,0.062027376
model_475,c_2,c_8,c_11,m_2,0.9813,0.059513547
model_476,c_3,c_10,c_12,c_5,0.9812,0.0613197
model_477,c_1,c_11,c_8,c_8,0.9804,0.06080423
model_478,c_8,c_10,s,-,0.9764,0.07684204
model_479,c_6,c_12,c_9,c_1,0.9798,0.06302775
model_480,m_2,c_7,c_9,c_7,0.9526,0.15663362
model_481,c_11,c_6,c_12,c_2,0.9813,0.05710853
model_482,c_3,c_4,c_1,c_9,0.9793,0.062211942
model_483,c_5,c_3,c_2,m_3,0.9803,0.0613397
model_484,c_5,c_4,m_2,m_2,0.9722,0.09267263
model_485,c_10,m_2,c_12,c_6,0.9641,0.11774464
model_486,c_4,c_5,c_9,s,0.9792,0.06496999
model_487,c_7,c_9,c_8,c_2,0.9806,0.061132327
model_488,c_5,c_6,c_5,c_10,0.9795,0.06328936
model_489,c_7,c_9,c_11,c_6,0.9805,0.061267484
model_490,c_7,c_10,c_5,c_5,0.9808,0.058863282
model_491,c_10,m_2,c_11,c_3,0.9645,0.115550116
model_492,c_8,c_1,c_10,c_2,0.9816,0.056357794
model_493,c_7,c_7,c_4,c_1,0.9808,0.059132423
model_494,c_1,c_1,c_10,c_9,0.9811,0.060297895
model_495,c_1,c_6,c_4,c_3,0.9814,0.056733217
model_496,c_3,c_8,c_5,s,0.9761,0.072255306
model_497,c_4,c_6,c_8,c_2,0.9816,0.05798592
