EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_46,m_2,c_7,c_9,c_7,0.9526,0.15663362,model_480
episode_47,c_10,m_3,c_7,c_3,0.9572,0.14823015,model_1203
episode_48,c_4,c_5,c_12,c_1,0.9786,0.067070335,model_454
episode_49,c_5,c_11,c_4,c_4,0.9807,0.061029874,model_1780
episode_50,c_6,m_3,c_8,s,0.9739,0.084968045,model_1670
episode_51,c_11,c_5,c_6,c_8,0.9804,0.061062727,model_336
episode_52,c_4,c_8,c_4,c_1,0.9818,0.057535842,model_432
episode_53,c_10,m_3,c_7,c_3,0.9572,0.14823015,model_1203
episode_54,c_11,c_4,c_10,m_1,0.9796,0.062354945,model_1017
episode_55,c_11,c_6,c_12,c_6,0.9794,0.063087195,model_1906
episode_56,c_1,c_8,m_1,c_8,0.9733,0.088697344,model_1797
episode_57,c_3,c_10,c_4,s,0.9802,0.06188282,model_1794
episode_58,c_6,c_6,c_4,m_3,0.9796,0.063459516,model_335
episode_59,c_2,c_2,m_3,c_11,0.9777,0.072630994,model_1809
episode_60,c_9,c_6,c_11,c_10,0.9809,0.061355192,model_355
episode_61,c_6,c_4,c_10,m_1,0.979,0.06734767,model_529
episode_62,c_7,c_4,c_11,c_8,0.9808,0.060152236,model_2010
episode_63,c_3,c_10,c_12,c_5,0.9812,0.0613197,model_476
episode_64,c_2,m_3,c_3,c_5,0.9699,0.09820371,model_388
episode_65,c_10,c_9,c_12,m_1,0.9802,0.059403095,model_200
episode_66,c_9,c_1,c_3,c_1,0.9788,0.06505774,model_245
episode_67,c_1,c_11,c_3,c_6,0.9804,0.06184937,model_1786
episode_68,c_6,c_2,c_10,c_10,0.9802,0.062106356,model_1104
episode_69,c_3,c_6,c_8,c_4,0.9796,0.06343081,model_761
episode_70,c_11,c_6,c_5,c_12,0.98,0.061411332,model_1181
episode_71,c_11,c_2,c_4,c_3,0.9799,0.06382138,model_1723
episode_72,c_4,c_9,c_4,c_2,0.9791,0.06070431,model_741
episode_73,c_9,c_6,c_5,m_3,0.9814,0.058819868,model_155
episode_74,c_12,c_11,m_2,c_4,0.9746,0.08210918,model_1212
episode_75,c_4,c_9,m_3,c_5,0.9809,0.062013682,model_1318
episode_75,c_4,c_9,m_3,c_5,0.9815,0.060449053,model_1745
episode_76,c_3,c_1,m_2,c_6,0.9718,0.09177592,model_1336
episode_77,c_3,m_2,c_2,c_11,0.9699,0.10134535,model_466
episode_78,c_4,c_12,c_4,c_4,0.98,0.064381994,model_1397
episode_79,c_8,c_11,c_8,c_8,0.9784,0.067632616,model_1793
episode_80,c_4,c_10,c_10,m_1,0.9822,0.055473067,model_455
episode_81,c_10,c_4,s,-,0.9764,0.07540969,model_249
episode_82,c_6,c_4,m_2,s,0.9715,0.09287151,model_1609
episode_83,c_1,c_6,c_7,s,0.9801,0.060518574,model_1575
episode_84,c_7,c_2,m_2,c_1,0.9732,0.08803502,model_1510
episode_85,c_10,c_12,s,-,0.9777,0.072886966,model_387
episode_85,c_10,c_12,s,-,0.9784,0.071574606,model_1436
episode_85,c_10,c_12,s,-,0.9769,0.072449245,model_1502
episode_86,c_12,c_12,c_3,m_3,0.9806,0.05921581,model_1515
episode_87,c_8,c_11,c_7,m_2,0.9797,0.05951972,model_1632
episode_88,c_7,m_1,c_12,c_12,0.9678,0.10853486,model_794
episode_89,c_10,c_5,c_10,c_1,0.9815,0.05653784,model_300
episode_90,c_5,m_3,m_3,c_8,0.761,1.0470812,model_1350
episode_91,c_1,c_1,c_8,c_7,0.9807,0.05643825,model_1619
episode_92,c_2,m_2,s,-,0.9553,0.15493575,model_414
episode_92,c_2,m_2,s,-,0.9533,0.16394566,model_1132
episode_92,c_2,m_2,s,-,0.9555,0.15514562,model_1744
episode_93,c_3,c_12,m_3,c_8,0.9834,0.057668805,model_515
episode_94,c_4,c_6,m_1,m_3,0.9729,0.08652169,model_1671
episode_95,c_9,c_11,c_11,c_8,0.9798,0.06472149,model_40
episode_96,c_7,m_1,c_12,c_12,0.9678,0.10853486,model_794
episode_97,c_3,c_12,c_3,c_11,0.9814,0.060056966,model_1162
episode_98,c_7,m_3,c_1,c_2,0.9551,0.1554628,model_1440
episode_99,c_1,c_3,c_2,c_6,0.9794,0.061006427,model_537
episode_100,c_5,m_3,c_3,c_7,0.9704,0.10017823,model_1681
episode_101,c_9,m_1,c_5,c_7,0.9679,0.10954981,model_1045
episode_102,c_2,m_1,c_1,c_11,0.9677,0.11135716,model_1342
episode_102,c_2,m_1,c_1,c_11,0.9683,0.10752766,model_1837
episode_103,c_12,c_6,c_6,c_2,0.9785,0.06958036,model_42
episode_104,c_6,c_4,c_10,m_1,0.979,0.06734767,model_529
episode_105,c_8,m_2,m_1,c_5,0.9506,0.18463805,model_946
episode_106,c_7,m_2,c_6,c_4,0.9643,0.11689243,model_1559
episode_107,c_8,c_11,s,-,0.9753,0.076996714,model_293
episode_108,c_6,c_7,c_10,c_5,0.9797,0.06314159,model_1320
episode_109,c_4,c_3,c_6,c_8,0.9799,0.06544355,model_1076
