EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_147,c_6,c_1,c_7,c_3,0.9801,0.062460832,model_123
episode_148,c_1,c_9,c_8,c_3,0.9806,0.05785024,model_1302
episode_149,c_8,m_3,c_3,c_1,0.9691,0.10149726,model_1236
episode_150,c_9,c_8,c_6,m_2,0.9794,0.06193304,model_678
episode_151,c_8,c_1,c_10,c_2,0.9816,0.056357794,model_492
episode_152,m_2,c_3,c_11,c_3,0.9524,0.15961227,model_1393
episode_153,c_12,c_2,c_8,c_2,0.9807,0.059763152,model_347
episode_154,c_11,c_10,m_3,c_9,0.9756,0.0835916,model_1274
episode_155,c_10,m_3,c_2,m_2,0.9573,0.14564282,model_56
episode_156,c_3,m_2,m_3,m_3,0.9422,0.22276781,model_1185
episode_157,c_9,c_8,m_2,m_2,0.9731,0.087615274,model_893
episode_158,c_11,c_9,m_3,c_9,0.9822,0.05674771,model_1568
episode_159,c_11,m_2,c_7,c_9,0.965,0.11192546,model_2004
episode_160,c_10,c_12,c_9,c_4,0.9808,0.060541026,model_616
episode_161,c_3,c_11,m_3,m_3,0.9804,0.064566605,model_975
episode_162,c_5,m_3,c_1,c_9,0.9683,0.106803484,model_947
episode_163,c_6,c_8,c_4,c_12,0.9779,0.066782966,model_1852
episode_164,c_6,c_4,c_9,m_3,0.9794,0.060788848,model_135
episode_165,m_3,c_8,c_11,c_4,0.8693,0.3907461,model_619
episode_166,c_9,c_10,s,-,0.9768,0.076369464,model_288
episode_167,m_2,s,-,-,0.8894,0.41746303,model_801
episode_167,m_2,s,-,-,0.8887,0.41835153,model_1659
episode_168,c_7,c_4,s,-,0.9765,0.07468289,model_1439
episode_169,c_9,c_4,m_1,c_9,0.9703,0.09513184,model_1059
episode_170,c_10,m_2,c_8,c_9,0.9629,0.12050751,model_1386
episode_171,c_5,c_11,m_2,c_9,0.9752,0.08157432,model_1788
episode_172,c_1,c_4,c_7,s,0.9822,0.05795041,model_1161
episode_173,c_5,c_1,m_3,m_1,0.9721,0.09312493,model_1411
episode_174,c_7,c_5,m_3,c_7,0.9802,0.07071722,model_1884
episode_175,c_2,c_1,c_4,s,0.9814,0.058668047,model_735
episode_176,c_6,c_11,c_10,c_1,0.9799,0.06099447,model_715
episode_177,c_5,m_1,c_11,c_3,0.969,0.10381945,model_1915
episode_178,c_8,m_3,c_5,c_4,0.9698,0.10102647,model_1626
episode_179,c_2,m_2,c_4,s,0.9659,0.11154263,model_1949
episode_180,c_2,c_4,c_6,s,0.9802,0.059616704,model_294
episode_181,c_9,c_8,c_11,c_12,0.9795,0.062697105,model_295
episode_182,c_11,m_2,c_3,c_4,0.9687,0.1066057,model_509
episode_183,c_4,c_5,c_9,c_9,0.9816,0.059442304,model_212
episode_184,c_1,c_6,c_7,s,0.9801,0.060518574,model_1575
episode_185,c_6,c_4,c_5,c_1,0.9801,0.061089486,model_1684
episode_186,c_3,c_8,c_6,c_10,0.9809,0.06056121,model_216
episode_187,c_5,c_3,m_2,m_1,0.9772,0.07095789,model_1840
episode_188,c_1,c_8,c_12,c_12,0.9812,0.057874203,model_1143
episode_189,c_1,c_10,c_5,c_8,0.9821,0.05923393,model_12
episode_190,c_3,m_1,c_4,m_1,0.9678,0.10876768,model_1277
episode_191,c_12,m_1,c_2,s,0.9678,0.105714,model_809
episode_192,c_1,c_9,m_1,c_9,0.9745,0.08326685,model_1529
episode_193,c_9,c_7,c_8,m_2,0.979,0.064006805,model_819
episode_194,c_1,c_3,m_1,c_6,0.9749,0.0812947,model_316
episode_195,c_11,c_12,c_2,c_11,0.9803,0.06147183,model_755
episode_196,c_7,c_8,c_9,m_2,0.9807,0.057070896,model_522
episode_197,c_11,m_2,c_1,c_6,0.9662,0.11297631,model_35
episode_198,c_10,c_5,c_5,c_6,0.9793,0.064156175,model_575
episode_199,c_11,m_2,c_1,c_6,0.9662,0.11297631,model_35
episode_200,c_10,m_2,c_2,c_6,0.9625,0.123813085,model_725
episode_201,c_8,m_1,c_5,c_1,0.9683,0.1080049,model_1835
episode_202,c_2,c_4,c_10,c_8,0.9817,0.05687258,model_1892
episode_203,c_8,c_2,c_4,c_6,0.9809,0.062451743,model_1750
episode_204,m_1,c_3,m_2,s,0.9336,0.22195247,model_1548
episode_205,c_2,c_12,c_1,c_1,0.9803,0.059294913,model_1965
episode_206,c_9,c_3,s,-,0.9771,0.07215311,model_130
episode_206,c_9,c_3,s,-,0.9761,0.074649215,model_1166
episode_206,c_9,c_3,s,-,0.9771,0.07110166,model_1599
episode_207,c_2,c_3,c_10,c_8,0.9788,0.062579155,model_1024
episode_208,c_1,c_4,c_9,c_3,0.98,0.060571544,model_1257
episode_209,c_6,c_4,c_12,m_2,0.9783,0.06382814,model_1177
episode_210,c_7,c_6,c_11,m_2,0.9803,0.063397944,model_771
episode_210,c_7,c_6,c_11,m_2,0.9805,0.059628427,model_1513
episode_211,c_4,m_1,m_3,c_4,0.9331,0.27489653,model_620
episode_212,c_4,c_9,c_4,c_2,0.9791,0.06070431,model_741
episode_213,c_1,c_9,c_9,c_4,0.9808,0.060242485,model_57
episode_213,c_1,c_9,c_9,c_4,0.9793,0.06423683,model_1539
episode_214,c_12,c_10,c_3,c_3,0.9791,0.06397503,model_380
episode_215,c_5,c_7,c_12,m_2,0.9802,0.06183349,model_1814
episode_216,c_12,c_7,c_2,c_1,0.9803,0.06240726,model_1847
episode_217,c_6,c_12,m_3,c_1,0.9804,0.06486068,model_409
