EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_98,c_3,m_1,c_4,m_1,0.9678,0.10876768,model_1277
episode_99,c_12,c_9,c_7,s,0.9808,0.061621655,model_1664
episode_100,c_6,c_11,c_4,c_9,0.9789,0.062398493,model_1026
episode_101,c_2,c_2,c_1,c_8,0.9791,0.06254026,model_1352
episode_102,c_2,c_8,c_11,m_2,0.9813,0.059513547,model_475
episode_103,c_8,c_10,c_1,s,0.9807,0.059578985,model_1289
episode_104,c_7,m_2,m_2,c_2,0.9382,0.22824362,model_1331
episode_105,c_5,c_3,m_1,c_4,0.9722,0.087475844,model_1262
episode_106,m_2,m_2,c_4,c_6,0.7124,0.87268424,model_1593
episode_107,c_4,c_3,m_1,m_2,0.974,0.084995,model_969
episode_108,c_4,m_1,m_1,c_5,0.9225,0.26592812,model_839
episode_109,c_6,c_1,c_1,c_3,0.9795,0.063610345,model_1505
episode_110,c_12,m_1,c_10,s,0.9675,0.10762397,model_1644
episode_111,c_6,c_6,c_8,c_8,0.9782,0.06473206,model_1826
episode_112,c_2,c_5,c_2,c_2,0.9783,0.062399056,model_1682
episode_113,c_7,m_1,m_2,c_6,0.9371,0.24205422,model_140
episode_114,c_5,c_12,c_8,c_6,0.9815,0.05939395,model_1627
episode_115,c_2,c_12,c_5,c_6,0.9803,0.060695358,model_1918
episode_116,c_4,c_9,c_4,c_2,0.9791,0.06070431,model_741
episode_117,c_7,m_3,c_5,c_7,0.9544,0.1534283,model_1400
episode_118,c_6,c_5,m_1,c_5,0.9724,0.088333905,model_1250
episode_119,c_12,c_12,c_10,c_5,0.9798,0.06083372,model_1187
episode_120,c_5,c_7,s,-,0.9758,0.07535529,model_248
episode_120,c_5,c_7,s,-,0.9771,0.07350419,model_1474
episode_121,c_9,c_7,c_9,c_10,0.9808,0.061905663,model_1242
episode_122,c_12,c_9,c_10,c_3,0.9793,0.06395657,model_653
episode_123,c_10,c_7,c_6,s,0.981,0.060294967,model_1655
episode_124,c_9,m_3,c_3,c_7,0.974,0.08792392,model_273
episode_125,c_11,c_7,s,-,0.9765,0.07292786,model_205
episode_126,c_2,c_6,c_2,c_7,0.9801,0.061314464,model_149
episode_127,c_6,c_4,c_9,c_12,0.9792,0.06254863,model_178
episode_128,c_8,c_6,c_3,m_3,0.9797,0.064344674,model_107
episode_129,c_10,c_10,c_11,c_2,0.9814,0.059472967,model_276
episode_130,c_3,c_2,c_7,c_2,0.9794,0.06708236,model_1942
episode_131,c_6,c_5,c_3,c_8,0.9807,0.06079265,model_1690
episode_132,c_6,c_8,c_7,m_1,0.981,0.060105577,model_1371
episode_133,c_7,c_9,c_1,m_3,0.9806,0.061649587,model_528
episode_134,c_6,s,-,-,0.9632,0.12855202,model_53
episode_134,c_6,s,-,-,0.9631,0.12906559,model_1281
episode_134,c_6,s,-,-,0.9626,0.1315919,model_1743
episode_135,c_3,c_6,c_2,c_4,0.9792,0.06274224,model_879
episode_136,c_5,m_2,s,-,0.9542,0.16090432,model_378
episode_137,c_5,c_6,c_2,c_5,0.9805,0.061114952,model_1931
episode_138,c_9,c_11,c_1,c_10,0.9766,0.070573404,model_812
episode_139,c_6,c_1,c_9,c_8,0.9809,0.058620606,model_626
episode_140,m_1,m_2,m_2,s,0.7077,0.99968606,model_1264
episode_141,c_5,c_5,c_10,c_4,0.9802,0.05921455,model_370
