EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_236,c_2,c_5,c_2,c_2,0.7248,0.8193752006
episode_237,c_7,c_9,c_4,c_10,0.6996,1.0208803638
episode_238,c_8,c_6,m_2,c_4,0.7173,0.8443778829
episode_239,c_11,m_3,m_2,c_5,0.7012,0.8634085464
episode_240,c_12,c_12,c_7,c_7,0.7405,0.7711323669
episode_241,c_10,m_3,c_7,c_3,0.7627,0.7215586305
episode_242,c_6,c_9,c_2,c_8,0.7323,0.8101150307
episode_243,c_7,m_2,c_1,c_9,0.7313,0.8015811863
episode_244,c_5,c_11,m_2,c_9,0.773,0.6703214809
episode_245,c_8,c_7,c_11,s,0.677,0.9587247545
episode_246,c_4,c_12,c_4,c_4,0.7282,0.8327663187
episode_247,c_1,c_6,c_11,c_9,0.7541,0.7401165671
episode_248,c_5,c_11,c_11,c_4,0.7327,0.8042854309
episode_248,c_5,c_11,c_11,c_4,0.6983,0.8822168702
episode_249,c_6,c_3,c_10,c_4,0.7339,0.8054866842
episode_250,c_1,c_5,c_7,m_3,0.7419,0.7531944425
episode_251,m_2,m_3,c_10,c_4,0.6055,1.1048950537
episode_252,c_7,c_4,c_5,c_8,0.7342,0.7858336545
episode_253,c_8,c_7,c_5,c_12,0.7191,0.8306212075
episode_254,c_5,c_12,c_8,c_6,0.7355,0.7691480504
episode_255,c_2,c_5,c_10,c_12,0.7173,0.8455085829
episode_256,c_12,c_9,c_9,c_8,0.7626,0.7414946794
episode_257,c_8,m_1,c_10,c_1,0.7441,0.7423926428
episode_258,c_1,m_1,m_2,m_2,0.6908,0.9568412893
episode_259,c_12,c_3,c_7,m_1,0.7288,0.7947791016
episode_260,c_11,c_6,c_11,c_6,0.7592,0.7275649897
episode_261,c_5,c_10,c_10,c_5,0.6959,0.9025020225
episode_262,c_11,c_1,c_11,c_5,0.741,0.7737423454
episode_263,c_4,c_6,c_9,c_10,0.7343,0.7826547118
episode_264,c_3,c_6,c_1,m_2,0.6813,0.9156428357
episode_265,c_10,c_10,c_7,s,0.7072,0.8545269935
episode_266,c_3,c_4,c_2,m_2,0.7082,0.8348408708
episode_267,c_5,m_2,c_9,m_2,0.7467,0.7750286433
episode_268,c_11,m_3,c_9,c_11,0.7567,0.7398401132
episode_269,c_4,c_9,c_4,c_12,0.7342,0.8088925929
episode_270,c_11,c_3,s,-,0.7029,0.8693831643
episode_270,c_11,c_3,s,-,0.7255,0.8000208246
episode_270,c_11,c_3,s,-,0.7046,0.8794313765
episode_271,c_10,m_2,c_11,c_11,0.76,0.7138206359
episode_272,c_6,c_6,c_11,c_10,0.7166,0.8451116946
episode_273,c_5,c_10,c_3,c_12,0.7163,0.9440973538
