Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1171,c_10,c_3,c_5,s,0.9729,0.0880081
model_1172,c_6,c_12,c_4,c_11,0.9735,0.085902356
model_1173,c_2,c_8,c_4,c_4,0.9742,0.08002292
model_1174,c_1,c_7,c_8,c_9,0.9748,0.082190685
model_1175,c_10,m_2,c_10,c_7,0.9474,0.17888848
model_1176,c_3,c_3,c_7,m_3,0.9724,0.089960895
model_1177,c_4,c_3,c_4,m_1,0.9747,0.080231525
model_1178,c_12,c_10,c_9,s,0.9702,0.09020161
model_1179,c_8,m_1,c_11,s,0.9522,0.1627731
model_1180,c_10,c_6,c_6,c_1,0.9734,0.08123226
model_1181,c_5,c_9,c_7,c_10,0.9721,0.0893285
model_1182,m_3,m_1,c_7,m_1,0.5015,1.5682927
model_1183,c_5,c_7,c_8,c_3,0.9717,0.086727485
model_1184,c_10,c_11,c_12,c_2,0.9735,0.08272179
model_1185,c_8,c_11,c_3,c_7,0.975,0.08180261
model_1186,c_4,c_9,c_6,c_7,0.9734,0.08218883
model_1187,c_11,c_8,c_2,c_11,0.9719,0.08588305
model_1188,c_9,c_10,c_3,c_4,0.9719,0.08899738
model_1189,c_10,c_7,c_8,c_5,0.9741,0.07980893
model_1190,c_11,c_4,m_2,c_1,0.9588,0.14354329
model_1191,c_11,c_12,c_11,c_8,0.9709,0.08857046
model_1192,c_10,m_2,c_9,c_8,0.9473,0.17790301
model_1193,c_3,c_7,m_3,c_3,0.9585,0.14292371
model_1194,c_3,c_1,c_12,c_11,0.9722,0.08967493
model_1195,c_12,c_6,c_11,c_12,0.973,0.086648114
model_1196,c_10,c_9,c_6,m_1,0.9721,0.08663866
model_1197,c_12,c_5,c_5,c_6,0.9746,0.08287473
model_1198,c_7,c_6,m_1,c_12,0.9615,0.13506736
model_1199,c_5,c_3,c_12,c_6,0.9754,0.080140226
model_1200,m_3,c_5,c_5,c_5,0.8362,0.52258146
model_1201,c_3,c_4,c_3,m_2,0.9734,0.08353705
model_1202,c_3,m_1,c_8,c_8,0.9546,0.15529391
model_1203,c_4,c_4,c_7,c_6,0.9738,0.08406554
model_1204,c_3,c_10,c_2,c_5,0.9721,0.08939223
model_1205,m_2,c_4,c_2,c_5,0.933,0.21943901
model_1206,c_2,m_3,m_2,s,0.8688,0.6761226
model_1207,c_12,m_2,c_1,c_10,0.9529,0.15940171
model_1208,c_1,c_3,c_6,c_2,0.9747,0.07953754
model_1209,c_10,c_8,c_3,c_11,0.9739,0.082480386
model_1210,c_6,c_10,c_2,c_5,0.972,0.09020039
model_1211,c_3,c_1,c_8,c_3,0.973,0.08399723
model_1212,c_12,c_7,c_9,m_2,0.9741,0.082522586
model_1213,m_1,m_3,c_6,c_7,0.4611,1.6084906
model_1214,c_11,c_8,c_2,c_2,0.9732,0.083118334
model_1215,c_9,m_2,c_7,s,0.9527,0.162953
model_1216,c_6,m_2,c_12,c_12,0.9557,0.14924467
model_1217,c_2,c_4,m_3,c_8,0.9568,0.14900686
model_1218,m_1,c_11,m_2,c_6,0.9256,0.29419962
model_1219,c_7,c_9,c_1,s,0.9738,0.08269293
model_1220,c_11,m_3,c_5,s,0.9458,0.18839622
model_1221,c_11,c_11,m_1,c_7,0.9604,0.13207324
model_1222,c_12,c_12,c_6,c_1,0.9735,0.08211214
model_1223,c_4,c_12,c_7,c_7,0.9753,0.07943852
model_1224,m_3,c_12,c_10,m_3,0.8216,0.55385154
model_1225,c_6,m_1,c_11,c_3,0.9541,0.15793031
model_1226,c_9,c_4,c_3,c_6,0.9727,0.08650421
model_1227,c_3,c_6,c_5,c_11,0.9696,0.09199488
model_1228,m_3,c_10,m_3,c_4,0.6048,1.9288974
model_1229,c_6,c_8,c_7,c_4,0.9737,0.08393613
model_1230,c_8,c_10,m_2,c_1,0.9583,0.14429162
model_1231,c_4,c_2,c_8,c_1,0.9746,0.082453564
model_1232,c_10,c_1,c_10,m_3,0.9745,0.08022752
model_1233,c_2,c_5,c_4,m_2,0.9741,0.084424205
model_1234,m_1,m_2,c_12,c_5,0.7089,0.93978846
model_1235,c_7,m_3,c_8,c_6,0.9303,0.23746821
model_1236,c_7,c_10,c_1,c_3,0.9735,0.081301495
model_1237,m_3,c_9,c_7,c_1,0.8263,0.5487324
model_1238,c_11,c_11,m_2,c_11,0.9626,0.13006398
model_1239,m_3,c_11,m_3,c_2,0.6521,1.6835726
model_1240,c_6,c_7,c_6,c_8,0.9688,0.092190504
model_1241,c_4,c_5,c_2,c_3,0.9753,0.08169414
model_1242,m_3,c_5,c_7,m_2,0.8326,0.5339957
model_1243,c_3,c_11,c_12,c_12,0.9713,0.09160136
model_1244,m_1,c_4,c_6,c_10,0.9357,0.20869567
model_1245,c_8,c_10,c_2,c_9,0.9729,0.08580268
model_1246,c_4,c_6,c_1,c_5,0.9749,0.080316916
model_1247,m_3,c_10,c_2,c_1,0.8275,0.53463435
model_1248,c_11,m_3,c_11,c_5,0.9499,0.17457834
model_1249,m_2,c_2,m_1,c_12,0.8951,0.38321644
model_1250,c_10,c_3,c_12,c_1,0.9728,0.082864635
model_1251,c_5,c_2,c_5,c_7,0.9729,0.08332675
model_1252,c_8,c_12,c_7,m_3,0.9738,0.084092505
model_1253,c_3,c_1,c_2,c_4,0.9731,0.08317479
model_1254,c_4,c_2,m_2,c_3,0.9601,0.13540074
model_1255,m_1,c_4,c_8,c_4,0.9395,0.20441994
model_1256,c_11,m_1,m_1,m_1,0.9139,0.31474072
model_1257,c_5,c_5,c_5,c_2,0.9736,0.08317389
model_1258,c_1,c_6,m_1,c_1,0.9606,0.14085683
model_1259,c_2,m_3,c_10,c_6,0.9482,0.18029127
model_1260,m_3,c_3,c_2,c_4,0.8359,0.52013075
model_1261,c_11,c_9,c_5,c_4,0.9726,0.0872607
model_1262,m_2,m_1,m_1,c_10,0.3448,1.9882418
model_1263,m_3,c_2,c_6,c_4,0.8347,0.52257574
model_1264,c_4,c_2,m_2,c_1,0.9596,0.1430941
model_1265,c_5,c_1,m_2,c_5,0.9581,0.14592916
model_1266,m_1,c_1,c_11,c_2,0.9393,0.20400089
model_1267,c_3,c_6,s,-,0.969,0.10180386
model_1268,m_1,c_2,c_10,c_6,0.9329,0.2204684
model_1269,c_2,m_1,c_12,c_9,0.9518,0.16121982
model_1270,m_3,c_5,c_9,c_11,0.8325,0.525059
model_1271,m_3,c_2,c_9,c_9,0.8361,0.51701045
model_1272,c_12,c_8,c_4,c_10,0.9733,0.08188322
