Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_5,c_6,c_9,c_3,0.7428,0.782323991394043
model_2,c_4,c_7,c_3,c_6,0.7371,0.7863302718162537
model_3,m_2,c_5,c_1,c_2,0.6465,1.146090903377533
model_4,c_5,c_7,c_2,c_1,0.7105,0.8450526757240295
model_5,c_5,c_3,c_6,c_9,0.7147,0.8642854575157165
model_6,c_3,m_1,m_3,m_3,0.5964,1.2042262805938722
model_7,c_5,c_8,c_10,c_6,0.7365,0.7655745141983032
model_8,c_6,m_3,s,-,0.7234,0.8101741709709167
model_9,c_5,c_4,c_1,c_2,0.7041,0.8743383326530456
model_10,c_1,c_6,m_3,c_11,0.7555,0.710749334526062
model_11,c_4,c_12,c_12,m_1,0.7454,0.7511210697174072
model_12,c_1,c_10,c_5,c_8,0.6646,0.9628445575714112
model_13,c_1,c_7,s,-,0.6951,0.9032085703849793
model_14,c_7,c_7,c_11,c_7,0.7273,0.8077844013214112
model_15,c_3,c_1,m_2,m_1,0.6924,0.884184909248352
model_16,c_7,c_8,m_2,m_2,0.7374,0.7694108758926391
model_17,c_6,c_2,c_4,c_12,0.7217,0.8525566178321838
model_18,c_3,c_2,c_10,c_12,0.7233,0.8494987858772278
model_19,c_10,c_7,c_12,s,0.7293,0.8387213850975037
model_20,c_12,c_10,c_6,m_3,0.761,0.7030323519229889
model_21,c_11,c_10,s,-,0.6965,0.8950513916015626
model_22,c_7,c_1,c_2,m_2,0.7026,0.8672841077804565
model_23,c_7,c_9,c_5,c_12,0.6895,0.998207091999054
model_24,c_2,m_2,c_6,c_11,0.7621,0.7118523073673249
model_25,c_2,c_2,c_2,m_1,0.7234,0.8231538687705994
model_26,c_8,c_10,c_4,c_11,0.7327,0.800775384426117
model_27,c_2,c_9,c_6,c_1,0.7219,0.8431401695251465
model_28,c_1,c_11,c_6,c_8,0.7395,0.7747865290641784
model_29,c_3,c_7,c_6,c_10,0.7243,0.8456251238822937
model_30,c_11,m_3,m_2,c_5,0.7012,0.8634085464477539
model_31,c_6,c_3,c_6,c_1,0.7104,0.8643187888145447
model_32,m_3,c_10,c_5,s,0.6909,0.9065854812622071
model_33,c_4,c_7,c_10,c_3,0.7226,0.8149588659286499
model_34,c_7,c_4,c_9,c_1,0.6956,0.8904698331832885
model_35,c_11,m_2,c_1,c_6,0.7632,0.7128329162597656
model_36,c_3,c_8,c_7,c_9,0.6969,0.8865173968315124
