episode_2711,c_8,c_5,c_3,c_1,0.976,0.08027729,model_2625
episode_2712,c_6,c_8,c_5,s,0.9726,0.08715086,model_2626
episode_2713,c_9,c_9,c_7,c_12,0.9727,0.08877952,model_2627
episode_2714,c_5,c_11,c_2,c_8,0.9731,0.0856867,model_2628
episode_2715,c_10,c_8,c_9,c_1,0.9725,0.0823475,model_2629
episode_2716,c_11,c_5,c_5,c_1,0.9734,0.082873866,model_2630
episode_2717,c_2,c_8,c_5,c_5,0.9724,0.086977184,model_2631
episode_2718,c_4,c_4,c_3,c_12,0.9739,0.08381784,model_2632
episode_2719,c_1,c_8,c_12,c_11,0.9754,0.081009746,model_2633
episode_2720,c_1,c_6,m_2,c_1,0.9633,0.124105945,model_2634
episode_2721,c_6,c_8,c_7,c_1,0.9733,0.08116581,model_2635
episode_2722,c_8,c_12,m_1,c_11,0.9622,0.13116576,model_2636
episode_2723,c_1,c_12,c_4,c_1,0.9735,0.08389239,model_2637
episode_2724,c_5,c_4,c_8,c_3,0.9743,0.081203155,model_2638
episode_2725,c_9,c_8,m_2,c_9,0.9607,0.13292004,model_2639
episode_2726,c_5,c_1,c_3,c_1,0.9739,0.08648794,model_2640
episode_2727,c_2,s,-,-,0.962,0.13089815,model_250
episode_2727,c_2,s,-,-,0.9618,0.1329981,model_1043
episode_2728,c_1,c_9,m_1,c_12,0.9606,0.13613869,model_2641
episode_2729,m_2,c_3,c_12,s,0.9338,0.21910138,model_2642
episode_2730,c_12,c_10,c_1,c_9,0.973,0.08710375,model_2643
episode_2731,c_5,m_1,c_7,c_11,0.9505,0.16597818,model_2644
episode_2732,c_12,c_3,c_5,c_1,0.9724,0.08424341,model_2645
episode_2733,c_10,m_1,c_5,c_1,0.9499,0.16868083,model_2646
episode_2734,c_5,c_8,m_3,c_9,0.968,0.11172844,model_2647
episode_2735,c_12,c_6,c_2,c_10,0.9745,0.08591857,model_2648
episode_2736,c_8,m_3,c_10,c_3,0.9413,0.19877,model_2649
episode_2737,c_9,c_8,c_10,m_3,0.9714,0.08571455,model_2650
episode_2738,c_5,m_3,c_5,c_1,0.9489,0.17320423,model_2651
episode_2739,c_10,m_2,c_7,c_9,0.9459,0.18082394,model_2652
episode_2740,c_5,c_8,c_5,c_1,0.9712,0.08880612,model_2183
episode_2741,c_5,c_9,c_8,c_5,0.9731,0.08548842,model_2653
episode_2742,c_5,c_2,c_5,c_1,0.9816,0.05907004,model_1997
episode_2743,c_3,c_8,c_6,c_8,0.9733,0.08319363,model_2654
episode_2744,c_5,c_8,c_7,c_3,0.9742,0.07728658,model_2655
episode_2745,s,-,-,-,0.9111,0.328965,model_431
episode_2746,m_1,c_2,c_5,c_1,0.9357,0.20972636,model_2501
episode_2747,m_1,c_10,c_2,c_1,0.9368,0.20781879,model_2656
episode_2748,c_2,c_9,c_5,c_11,0.9817,0.05823317,model_635
episode_2749,c_10,c_1,c_5,m_3,0.9728,0.086412884,model_2657
episode_2750,m_1,c_5,c_3,c_12,0.932,0.21831676,model_2658
episode_2751,c_5,c_8,m_2,m_1,0.9638,0.12453412,model_2659
episode_2752,c_5,c_5,c_3,c_9,0.9735,0.08412824,model_2660
episode_2753,c_5,c_4,m_2,c_6,0.9569,0.14350246,model_2661
episode_2754,c_7,m_2,c_12,c_10,0.947,0.17651656,model_2662
episode_2755,m_3,m_2,c_2,c_1,0.5227,1.4652246,model_2663
episode_2756,s,-,-,-,0.9111,0.328965,model_431
episode_2757,c_10,c_9,c_10,c_10,0.9719,0.088556275,model_2664
episode_2758,s,-,-,-,0.9111,0.328965,model_431
episode_2759,c_5,c_2,c_2,c_6,0.9743,0.08194958,model_2665
episode_2760,c_5,s,-,-,0.9443,0.1945998,model_2038
episode_2761,c_5,c_1,c_5,c_3,0.9742,0.08082522,model_2502
episode_2762,s,-,-,-,0.9111,0.328965,model_431
episode_2763,c_3,c_10,c_5,c_1,0.9741,0.08652791,model_2666
episode_2764,c_12,c_1,c_9,m_1,0.9734,0.08206992,model_2667
episode_2765,m_1,s,-,-,0.8985,0.39769065,model_747
episode_2765,m_1,s,-,-,0.8964,0.4006543,model_1269
episode_2765,m_1,s,-,-,0.8953,0.40298048,model_1897
episode_2766,c_7,m_3,c_1,c_11,0.9203,0.2697799,model_2668
episode_2767,c_3,c_8,c_5,c_1,0.9725,0.08604784,model_2669
episode_2768,c_12,c_8,c_6,c_8,0.9733,0.08755165,model_2670
episode_2769,m_1,c_10,c_10,c_4,0.9353,0.21070258,model_2671
episode_2770,c_5,c_8,c_3,c_1,0.9725,0.08625948,model_2672
episode_2771,c_3,c_12,c_4,c_1,0.9724,0.08761116,model_2673
episode_2772,c_3,c_7,m_2,c_5,0.9603,0.13656397,model_2674
episode_2773,c_5,c_7,m_3,c_9,0.9478,0.17276032,model_2675
episode_2774,c_12,c_8,m_3,c_3,0.9635,0.12464307,model_2676
episode_2775,c_5,c_5,c_4,c_7,0.9747,0.084710136,model_2677
